max phase,temp,time,del_m
Ta2AlC,800,8.04627,0.12178
Ta2AlC,800,1.00257,0.01584
Ta2AlC,800,1.77378,0.02822
Ta2AlC,800,1.77378,0.02822
Ta2AlC,700,1.28535,0.00297
Ta2AlC,700,1.79949,0.00396
Ta2AlC,700,2.57069,0.00495
Ta2AlC,700,3.67609,0.00693
Ta2AlC,700,5.21851,0.0099
Ta2AlC,700,6.76093,0.01337
Ta2AlC,700,7.89203,0.01634
Ta2AlC,700,8.92031,0.01881
Ta2AlC,700,9.94859,0.02129
Ta2AlC,600,1.23393,0.00149
Ta2AlC,600,2.26221,0.00198
Ta2AlC,600,3.29049,0.00248
Ta2AlC,600,4.57584,0.00297
Ta2AlC,600,5.86118,0.00396
Ta2AlC,600,6.91517,0.00446
Ta2AlC,600,7.94344,0.00495
Ta2AlC,600,8.97172,0.00545
Ta2AlC,600,9.74293,0.00594
